apps_sydney_2017/data/country_data/br	year	month	day	focal_depth	magnitute	country	location_name	latitude	longitude	deaths	missing	injuries	damage_millions_dollars			damage_description	houses_destroyed	houses_destroyed_description	houses_damaged	houses_damaged_description	total_deaths	total_deaths_description	total_missing	total_missing_description	total_injuries	total_injuries_description	total_damage_millions_dollars	total_damage_range	total_damage_description	total_houses_destroyed	total_houses_damaged
	2007	10	31	10	5.6	usa	california:  san jose	37.434	-121.774							1												Less than $1 Million	1		
	2007	11	6	10	5.1	india	india:  gujarat	21.181	70.724	1		5				1		2		2	1	1			5	1		Less than $1 Million	1		
	2007	11	7	72	5.1	philippines	philippines:  bohol island:  mabini	9.721	124.647	1											1	1						#N/A			
	2007	11	7	29	5.1	bangladesh	bangladesh:  chittagong, bandarban, rangamati	22.15	92.388			10				1									10	1		Less than $1 Million	1		
Tsu	2007	11	14	40	7.7	chile	chile:  tocopilla, maria elena	-22.247	-69.89	2		65				3		4			2	1			65	2		~$5 to $24 Million	3		
	2007	11	16	123	6.8	ecuador	peru-ecuador:  guayaquil	-2.312	-77.838							1												Less than $1 Million	1		
	2007	11	20	7	4.8	iran	iran:  western:  qal' eh-ye tol, khuzestan	31.68	49.93			30				1		1		1					30	1		Less than $1 Million	1		
	2007	11	25	35	6.5	indonesia	indonesia:  sumbawa island	-8.277	118.339	3						2		3			3	1				3		~$1 to $5 Million	2		
	2007	11	25	10	4.7	india	india:  badaun, meerut, noida, rewari	28.555	77.057							1		1		1								Less than $1 Million	1		
Tsu	2007	11	29	156	7.4	martinique	martinique	14.944	-61.274	1		102				1					1	1			102	3		Less than $1 Million	1		
	2007	12	9	10	4.6	brazil	brazil:  minas gerais	-15.048	-44.231	1		6				2	76	2			1	1			6	1		~$1 to $5 Million	2	76	
Tsu	2007	12	9	153	7.8	kermadec islands (new zealand)	kermadec islands	-25.996	-177.514																			#N/A			
	2007	12	15	25	5.9	chile	chile:  off central coast, vina del mar, valparaiso	-32.689	-71.695			4				1		1							4	1		Less than $1 Million	1		
	2007	12	20	20	6.6	new zealand	new zealand:  off coast north island	-39.011	178.291	1						1	3	1			1	1						Less than $1 Million	1	3	
	2007	12	20	10	5.7	turkey	turkey:  central:  yeniyapan, abazlar, suyuguzel	39.417	33.212							1		1		1								Less than $1 Million	1		
	2007	12	26	8	5.6	turkey	turkey:  central:  ankara	39.446	33.162							3	2214	4	2214	4								~$5 to $24 Million	3	2214	
	2008	1	1	6	5.6	kyrgyzstan	kyrgyzstan:  osh	40.288	72.985							3	5385	4										~$5 to $24 Million	3	5385	
	2008	1	5	66	5.6	guatemala	guatemala:  colomba, flores, costa cuca	14.129	-91.479							1												Less than $1 Million	1		
	2008	1	7	12	5.9	indonesia	indonesia: new guinea: manokwari,	-0.795	134.012			6				1			22	1					6	1		Less than $1 Million	1		22
	2008	1	9	10	4.6	algeria	algeria:  oran	35.616	-0.57	1						2					1	1						~$1 to $5 Million	2		
	2008	1	12	34	5	bangladesh	india-bangladesh:  rangamati, bangladesh	22.761	92.333							1				2								Less than $1 Million	1		
	2008	1	22	20	6.1	indonesia	indonesia:  sumatra:  nias island:  gunungsitoli	1.011	97.442	1		5				1					1	1			5	1		Less than $1 Million	1		
	2008	2	3	10	5.9	congo	congo:  bukavu	-2.296	28.9	38		717				3	99	2	815	3	38	1			717	3		~$5 to $24 Million	3	99	815
	2008	2	6	10	4.3	india	india:  west bengal	23.433	87.111	1		50				2					1	1			50	1		~$1 to $5 Million	2		
	2008	2	9	3	5.1	mexico	mexico:  baja california	32.456	-115.315							1												Less than $1 Million	1		
	2008	2	13	14	4.9	iran	iran:  nasirabad	31.73	51.2			10				1									10	1		Less than $1 Million	1		70
	2008	2	14	10	4.9	rwanda	rwanda:  gisenyi	-2.404	28.918	1		109				1			5	1	1	1			109	3		Less than $1 Million	1		5
	2008	2	15	10	5	lebanon	lebanon-syria:  baalbec	33.327	35.305			10				1				1					10	1		Less than $1 Million	1		
	2008	2	20	26	7.4	indonesia	indonesia:  sumatera:  aceh province	2.768	95.964	3		25									3	1			25	1		#N/A			
	2008	2	21	7	6	usa	nevada:  wells	41.153	-114.867			3				2			720	3					3	1		~$1 to $5 Million	2		720
Tsu	2008	2	25	25	6.5	indonesia	indonesia:  sumatra:  padang	-2.486	99.972							1				2								Less than $1 Million	1		
	2008	2	27	18	4.8	uk	united kingdom:  england:  lincolnshire	53.403	-0.332			1				1									1	1		Less than $1 Million	1		
	2008	2	29	10	4.3	brazil	brazil:  sobral	-3.7	-40.35							1												Less than $1 Million	1		
	2008	3	9	10	4.5	india	india:  gujarat	23.33	70.592							1												Less than $1 Million	1		
	2008	3	20	10	7.2	china	china:  xinjiang province	35.49	81.467							3	2200	4										~$5 to $24 Million	3	2200	
	2008	3	29	51	5.3	peru	peru:  off coast	-12.178	-77.164			1				1	5	1							1	1		Less than $1 Million	1	5	
Tsu	2008	4	9	33	7.3	new caledonia	new caledonia: loyalty islands	-20.071	168.892																			#N/A			
	2008	4	15	33	6.1	guatemala	guatemala	13.564	-90.599							1												Less than $1 Million	1		8
	2008	4	18	14	5.3	usa	illinois:  west salem	38.452	-87.886							1				1								Less than $1 Million	1		
	2008	4	26	1	5	usa	nevada:  fallon	39.52	-119.93							1				1								Less than $1 Million	1		
Tsu	2008	4	28	32	6.4	vanuatu	vanuatu islands	-19.941	168.953																			#N/A			
	2008	5	1	16	4.5	iran	iran:  lorestan, boroujerd	33.86	48.59			100				1									100	2		Less than $1 Million	1		
	2008	5	7	39	6.8	japan	japan:  honshu:  e coast	36.158	141.521			6				1									6	1		Less than $1 Million	1		
Tsu	2008	5	12	19	7.9	china	china:  sichuan province	31.002	103.322	87652		374171	86000			4	5360000	4	5360000	4	87652	4			374171	4	86000	$25 Million or more	4	5360000	21000000
	2008	5	21	10		brazil	brazil:  alcantaras	-3.91	-40.44							1												Less than $1 Million	1		
	2008	5	24	9	5.6	colombia	colombia:  meta, quetame	4.33	-73.764	6						1				2	6	1						Less than $1 Million	1		
	2008	5	25	10	6	china	china:  sichuan province	32.57	105.424	8		927				4	400000	4	400000	4	8	1			927	3		$25 Million or more	4	400000	
	2008	5	26	13	5.6	costa rica	panama-costa rica	8.423	-82.968							1												Less than $1 Million	1		
	2008	5	27	10	5.7	china	china:  sichuan province	32.71	105.54							3	20000	4	20000	4								~$5 to $24 Million	3	20000	
	2008	5	29	10	6.3	iceland	iceland: reykjavik	64.004	-21.012			30				1									30	1		Less than $1 Million	1		
	2008	6	6	4	5.5	algeria	algeria:  oran	35.883	-0.658	1		30				2		2		2	1	1			30	1		~$1 to $5 Million	2		
	2008	6	6	11	3.8	india	india:  manpur	24.702	84.964			2				1									2	1		Less than $1 Million	1		
	2008	6	8	16	6.3	greece	greece:  achaia, ileia	37.963	21.525	2		240				3	1156	4			2	1			240	3		~$5 to $24 Million	3	1156	
	2008	6	13	8	6.9	japan	japan:  honshu:  tokyo	39.03	140.881	13		357				3			614	3	13	1			357	3		~$5 to $24 Million	3		614
	2008	7	1	33	5.5	peru	peru:  central:  oxapampa, huancabamba	-10.368	-75.512			45				1	60	1	25	1					45	1		Less than $1 Million	1	60	25
	2008	7	3	10	5	iran	iran:  ne:  katkan	35.5	58.8							1		2		2								Less than $1 Million	1		
	2008	7	5	633	7.7	russia	russia:  sea of okhotsk	53.882	152.886																			#N/A			
	2008	7	8	123	6.2	peru	peru:  arequipa	-15.986	-71.748	1						1				2	1	1						Less than $1 Million	1		
Tsu	2008	7	19	22	6.9	japan	japan:  off east coast of honshu island	37.552	142.214																			#N/A			
	2008	7	23	108	6.8	japan	japan:  honshu:  n	39.802	141.464	1		200				2	90	2	90	2	1	1			200	3		~$1 to $5 Million	2		90
