"","X.2","id","date","country.rf","hazard_type","hazard_subtype","trigger","trigger_name","fatalities","injuries","source_name","source_link","location_description","location_accuracy","hazard_size","distance","population.dis","countrycode.rf","continentcode","tstamp","latitude.dis","longitude.dis","magnitude","tsunami_ind","damage_range","houses_damaged","city_name","latitude.cit","longitude.cit","feature_class","feature_code","population.cit","elevation","average_elevation","timezone","X.rf","X.1","distance_between","X.br","mean.value.","country.br","rainfall_mm","countrycode.br"
"184",4004085,4133,2012-01-09,"Brazil","landslide","Mudslide","Downpour","",22,NA,"","http://www.cnn.com/2012/01/10/world/americas/brazil-flooding/","",5,"Large",1.47006,12329,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-21.9935,-42.9003,NA,NA,NA,NA,"Sapucaia",-21.995,-42.91444,"P","PPL",12329,NA,224,"America/Sao_Paulo",NA,NA,90.5909691622405,33,353.333333333333,"BR",353.333333333333,"BR"
"185",4097105,4310,2012-04-06,"Brazil","landslide","Mudslide","Downpour","",5,NA,"","http://www.accuweather.com/en/weather-news/mudslides-kill-5-in-brazil-1/63785","",5,"Large",0.51533,123979,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.4115,-42.9705,NA,NA,NA,NA,"Teresopolis",-22.4167,-42.97822,"P","PPL",123979,NA,936,"America/Sao_Paulo",NA,NA,55.7589936737279,NA,NA,NA,NA,NA
"186",4596736,4612,2012-11-13,"Brazil","landslide","Landslide","Rain","",NA,NA,"","","",25,"Large",0.19081,153361,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.2815,-42.5329,NA,NA,NA,NA,"Nova Friburgo",-22.28194,-42.53111,"P","PPLA2",153361,NA,858,"America/Sao_Paulo",NA,NA,11.2799101245621,NA,NA,NA,NA,NA
"187",4711003,4775,2013-03-18,"Brazil","landslide","Landslide","Rain","",31,NA,"www.bbc.co.uk","http://www.bbc.co.uk/news/world-latin-america-21835159","",5,"Medium",4.58531,272691,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.5221,-43.2192,NA,NA,NA,NA,"Petropolis",-22.505,-43.17861,"P","PPL",272691,NA,819,"America/Sao_Paulo",NA,NA,249.176631757132,NA,NA,NA,NA,NA
"188",4728665,4789,2013-03-28,"Brazil","landslide","Landslide","Other","",6,NA,"bestonlinebroker.co","http://bestonlinebroker.co/p/3999693490/2013/04/10/beadell-resources-why-the-silence-after-a-major-mining-disaster","",1,"Medium",0.1702,83927,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-0.0568,-51.1818,NA,NA,NA,NA,"Santana",-0.05833,-51.18167,"P","PPL",83927,NA,0,"America/Belem",NA,NA,9.78263690539604,NA,NA,NA,NA,NA
"189",5648089,5632,2013-11-11,"Brazil","landslide","Landslide","Downpour","",2,1,"","https://www.redesul.com.br/noticias/show/noticia/30217-desmoronamento-de-casa-causa-morte-mae-e-filha-em-bom-principio","",5,"Medium",11.3725,19012,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-29.4878,-51.3442,NA,NA,NA,NA,"Aracoiaba",-4.37111,-38.81417,"P","PPL",13425,NA,112,"America/Fortaleza",NA,NA,129.354331863755,NA,NA,NA,NA,NA
"190",5695403,5676,2013-12-06,"Brazil","landslide","Landslide","Downpour","",NA,1,"floodlist.com","http://floodlist.com/america/4-dead-rio-de-janeiro-floods","",50,"Medium",2.74916,272691,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.5195,-43.2003,NA,NA,NA,NA,"Petropolis",-22.505,-43.17861,"P","PPL",272691,NA,819,"America/Sao_Paulo",NA,NA,151.315250196411,NA,NA,NA,NA,NA
"191",5697416,5679,2013-12-07,"Brazil","landslide","Mudslide","Downpour","",16,NA,"www.weatheronline.co.uk","http://www.weatheronline.co.uk/cgi-app/reports?ARCHIV=0&LANG=en&MENU=207&FILE=b2.txt&DAY=20131211","",1,"Medium",25.8893,11169,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-12.3546,-40.9044,NA,NA,NA,NA,"Caninde de Sao Francisco",-9.66,-37.78944,"P","PPL",11052,NA,179,"America/Maceio",NA,NA,222.929112606424,NA,NA,NA,NA,NA
"192",5708029,5685,2013-12-10,"Brazil","landslide","Landslide","Downpour","",NA,NA,"www.fatonovo.com.br","http://www.fatonovo.com.br/novo-deslizamento-volta-a-preocupar-not-2238.php","",5,"Small",15.65702,19012,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-29.4478,-51.346,NA,NA,NA,NA,"Lapao",-11.38333,-41.83194,"P","PPL",11252,NA,775,"America/Bahia",NA,NA,225.908531795542,NA,NA,NA,NA,NA
"193",5710040,5686,2013-12-10,"Brazil","landslide","Landslide","Downpour","",NA,NA,"www.rappler.com","http://www.rappler.com/world/regions/latin-america/45739-heavy-rain-state-of-alert-rio","",5,"Medium",2.15421,147281,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.8213,-43.3991,NA,NA,NA,NA,"Nilopolis",-22.8075,-43.41389,"P","PPL",147281,NA,27,"America/Sao_Paulo",NA,NA,108.780339648734,NA,NA,NA,NA,NA
"194",5712052,5688,2013-12-11,"Brazil","landslide","Landslide","Downpour","",NA,NA,"aserra.com.br","http://aserra.com.br/noticias/petropolis-deslizamento-de-terra-interdita-casa-no-independencia.html","",5,"Small",5.3496,272691,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.5444,-43.2087,NA,NA,NA,NA,"Ponta Pora",-22.53611,-55.72556,"P","PPL",55763,NA,659,"America/Campo_Grande",NA,NA,274.186637966253,NA,NA,NA,NA,NA
"195",5714063,5689,2013-12-11,"Brazil","landslide","Landslide","Downpour","",NA,2,"www.rappler.com","http://www.rappler.com/world/regions/latin-america/45739-heavy-rain-state-of-alert-rio","",10,"Medium",10.81048,147281,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.9011,-43.4438,NA,NA,NA,NA,"Independencia",-5.39639,-40.30861,"P","PPL",11113,NA,341,"America/Fortaleza",NA,NA,149.699069940026,NA,NA,NA,NA,NA
"196",5716076,5692,2013-12-13,"Brazil","landslide","Riverbank_Collapse","Downpour","",0,NA,"cbn.globoradio.globo.com","http://cbn.globoradio.globo.com/rio-de-janeiro/2013/12/13/CASA-AS-MARGENS-DE-RIO-DESMORONA-EM-NOVA-IGUACU.htm","",25,"Small",12.68853,54846,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.8267,-43.6221,NA,NA,NA,NA,"Piritiba",-11.73028,-40.55528,"P","PPL",16230,NA,542,"America/Bahia",NA,NA,319.420778084181,NA,NA,NA,NA,NA
"197",5718089,5695,2013-12-17,"Brazil","landslide","Landslide","Downpour","",6,NA,"www.nydailynews.com","http://www.nydailynews.com/news/world/video-landslides-brazil-kill-including-children-article-1.1551879","",50,"Medium",32.99747,6902,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-18.7913,-42.3753,NA,NA,NA,NA,"Araguaiana",-15.73389,-51.83139,"P","PPL",3512,NA,287,"America/Sao_Paulo",NA,NA,286.609930645747,NA,NA,NA,NA,NA
"198",5720100,5696,2013-12-17,"Brazil","landslide","Landslide","Downpour","",NA,NA,"www.nydailynews.com","http://www.nydailynews.com/news/world/video-landslides-brazil-kill-including-children-article-1.1551879","",50,"Medium",32.99747,6902,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-18.7913,-42.3753,NA,NA,NA,NA,"Araguaiana",-15.73389,-51.83139,"P","PPL",3512,NA,287,"America/Sao_Paulo",NA,NA,286.609930645747,NA,NA,NA,NA,NA
"199",5722117,5703,2013-12-21,"Brazil","landslide","Landslide","Rain","",1,NA,"portalguandu.com.br","http://portalguandu.com.br/noticia/11217/senhora-de-57-anos-morre-em-deslizamento-de-terra-no-laranjal-em-itaguacu-es","",50,"Medium",20.72539,8201,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-19.6168,-40.8262,NA,NA,NA,NA,"Barroso",-21.18694,-43.97583,"P","PPL",16975,NA,927,"America/Sao_Paulo",NA,NA,238.26496422429,NA,NA,NA,NA,NA
"200",5724130,5706,2013-12-21,"Brazil","landslide","Landslide","Rain","",NA,NA,"memoria.ebc.com.br","http://memoria.ebc.com.br/agenciabrasil/noticia/2013-12-21/chuvas-causam-deslizamentos-de-terra-no-espirito-santo-5-pessoas-morreram","",50,"Large",7.32023,19292,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-19.5378,-40.949,NA,NA,NA,NA,"Correia Pinto",-27.58472,-50.36111,"P","PPL",13752,NA,838,"America/Sao_Paulo",NA,NA,62.908472634574,NA,NA,NA,NA,NA
"201",5726141,5707,2013-12-21,"Brazil","landslide","Landslide","Rain","",NA,NA,"portalguandu.com.br","http://portalguandu.com.br/noticia/11217/senhora-de-57-anos-morre-em-deslizamento-de-terra-no-laranjal-em-itaguacu-es","",10,"Medium",16.56792,8201,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-19.6528,-40.8424,NA,NA,NA,NA,"Barroso",-21.18694,-43.97583,"P","PPL",16975,NA,927,"America/Sao_Paulo",NA,NA,36.6117460502836,NA,NA,NA,NA,NA
"202",5728154,5710,2013-12-22,"Brazil","landslide","Landslide","Downpour","",NA,NA,"g1.globo.com","http://g1.globo.com/espirito-santo/noticia/2013/12/deslizamentos-interditam-br-101-e-chuva-alaga-ruas-da-grande-vitoria.html","",10,"Large",6.1215,55122,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-20.4337,-40.4598,NA,NA,NA,NA,"Ponte Nova",-20.41639,-42.90861,"P","PPL",48187,NA,438,"America/Sao_Paulo",NA,NA,67.5660199017535,NA,NA,NA,NA,NA
"203",5745037,5724,2013-12-25,"Brazil","landslide","Mudslide","Downpour","",1,1,"www.tasnimnews.com","http://www.tasnimnews.com/English/Home/Single/232381","",1,"Medium",6.25717,470193,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-21.7303,-43.3987,NA,NA,NA,NA,"Aguas Belas",-9.11139,-37.12306,"P","PPL",22563,NA,378,"America/Recife",NA,NA,337.887579606606,NA,NA,NA,NA,NA
"204",5878689,6057,2014-06-14,"Brazil","landslide","Landslide","Continuous_rain","",0,0,"USA Today","http://worldcup.usatoday.com/2014/06/14/natal-brazil-world-cup-us-soccer-usmnt-ghana-group-g-landslides-flooding/","unknown",1,"Small",2.05795,763043,"BR","SA","Sun Aug 24 2014 00:00:00 GMT+0000 (UTC)",-5.7897,-35.1916,NA,NA,NA,NA,"Natal",-5.795,-35.20944,"P","PPLA",763043,NA,32,"America/Fortaleza",NA,NA,105.773933755304,NA,NA,NA,NA,NA
"205",5880701,6059,2014-06-15,"Brazil","landslide","Landslide","Continuous_rain","",0,0,"Mirror","http://www.mirror.co.uk/news/world-news/world-cup-2014-watch-drone-3704035","Urban_area",5,"Medium",2.14843,763043,"BR","SA","Wed Jan 07 2015 21:17:48 GMT+0000 (UTC)",-5.8141,-35.2059,NA,NA,NA,NA,"Natal",-5.795,-35.20944,"P","PPLA",763043,NA,32,"America/Fortaleza",NA,NA,123.321696661019,NA,NA,NA,NA,NA
"206",5898802,6085,2014-06-23,"United States","landslide","Mudslide","Continuous_rain","",0,0,"Global Post","http://www.globalpost.com/dispatch/news/xinhua-news-agency/140623/host-city-natal-continues-suffer-mudslides","unknown",5,"Medium",2.29023,763043,"BR","SA","Sun Aug 24 2014 00:00:00 GMT+0000 (UTC)",-5.7946,-35.1888,NA,NA,NA,NA,"Natal",-5.795,-35.20944,"P","PPLA",763043,NA,32,"America/Fortaleza",NA,NA,116.151792292109,NA,NA,NA,NA,NA
"207",6468835,6591,2014-01-04,"","landslide","Riverbank_Collapse","Unknown","",0,0,"G1","http://g1.globo.com/pa/para/noticia/2014/01/area-que-desabou-em-abaetetuba-tinha-aterro-irregular-diz-engenheira.html","Urban_area",NA,"Medium",1.04062,78050,"BR","SA","Fri Dec 26 2014 22:15:43 GMT+0000 (UTC)",-1.7225,-48.8907,NA,NA,NA,NA,"Abaetetuba",-1.71806,-48.8825,"P","PPL",78050,NA,9,"America/Belem",NA,NA,29.3374760850348,52,1784.91666666667,"BR",1784.91666666667,"BR"
"208",6555677,6849,2015-03-07,"","landslide","Landslide","Downpour","",3,0,"Global Times","http://www.globaltimes.cn/content/910933.shtml","Urban_area",NA,"Medium",0.83016,98989,"BR","SA","Sun Mar 22 2015 20:54:38 GMT+0000 (UTC)",-23.4499,-46.923,NA,NA,NA,NA,"Santana de Parnaiba",-23.44417,-46.91778,"P","PPL",98989,NA,711,"America/Sao_Paulo",NA,NA,36.7043104254034,NA,NA,NA,NA,NA
"209",6651074,7050,2015-05-20,"","landslide","Landslide","Continuous_rain","",1,1,"Latin America Herald Tribune","http://www.laht.com/article.asp?ArticleId=2388520&CategoryId=14090","Urban_area",NA,"Small",0.81136,2711840,"BR","SA","Thu Jul 02 2015 15:48:58 GMT+0000 (UTC)",-12.9774,-38.5147,NA,NA,NA,NA,"Salvador",-12.97111,-38.51083,"P","PPLA",2711840,NA,10,"America/Bahia",NA,NA,46.0233132667795,NA,NA,NA,NA,NA
"210",6766062,7118,2015-04-27,"","landslide","Landslide","Downpour","",7,0,"BBC","http://www.bbc.com/news/world-latin-america-32494686","Urban_area",NA,"Medium",3.21454,2711840,"BR","SA","Thu Jul 09 2015 18:33:46 GMT+0000 (UTC)",-12.9828,-38.4837,NA,NA,NA,NA,"Salvador",-12.97111,-38.51083,"P","PPLA",2711840,NA,10,"America/Bahia",NA,NA,175.105492920524,NA,NA,NA,NA,NA
"211",6768073,7119,2015-04-27,"","landslide","Landslide","Downpour","",7,0,"BBC","http://www.bbc.com/news/world-latin-america-32494686","Urban_area",NA,"Medium",5.24335,2711840,"BR","SA","Thu Jul 09 2015 18:55:21 GMT+0000 (UTC)",-12.9379,-38.4764,NA,NA,NA,NA,"Eirunepe",-6.66028,-69.87361,"P","PPL",17175,NA,123,"America/Eirunepe",NA,NA,116.512216479132,NA,NA,NA,NA,NA
"212",7244498,8910,2015-11-01,"","landslide","Mudslide","Dam_Embankment_Collapse","",17,50,"RTE News","http://www.rte.ie/news/2015/1106/740002-brazil-mudslide-deaths/","Retaining_wall",NA,"Very_large",4.22868,63678,"BR","SA","Tue Jul 12 2016 18:15:03 GMT+0000 (UTC)",-20.3996,-43.465,NA,NA,NA,NA,"Ouro Preto",-20.39484,-43.50517,"P","PPL",63678,NA,1201,"America/Sao_Paulo",NA,NA,30.8922218734641,NA,NA,NA,NA,NA
"213",7510374,9381,2016-03-10,"","landslide","Mudslide","Downpour","",4,7,"The Australian","http://www.theaustralian.com.au/news/latest-news/flooding-kills-15-in-brazil/news-story/42dc9bda0cdf676a9e097642cb325daa","Unknown",NA,"Medium",3.68529,54415,"BR","SA","Wed Aug 03 2016 17:42:47 GMT+0000 (UTC)",-23.3025,-46.5551,NA,NA,NA,NA,"Areia Branca",-4.95611,-37.13694,"P","PPL",18372,NA,11,"America/Fortaleza",NA,NA,100.724681461612,NA,NA,NA,NA,NA
"214",7512385,9382,2016-03-10,"","landslide","Mudslide","Downpour","",9,12,"The Australian","http://www.theaustralian.com.au/news/latest-news/flooding-kills-15-in-brazil/news-story/42dc9bda0cdf676a9e097642cb325daa","Unknown",NA,"Medium",0.69086,171790,"BR","SA","Wed Aug 03 2016 17:45:29 GMT+0000 (UTC)",-23.2789,-46.7392,NA,NA,NA,NA,"Francisco Morato",-23.28167,-46.74528,"P","PPL",171790,NA,803,"America/Sao_Paulo",NA,NA,20.6726129999109,NA,NA,NA,NA,NA
