city_name	latitude	longitude	feature_class	feature_code	country_code	population	elevation	average_elevation	timezone		
Kaiping	39.67798	118.25217	P	PPLA3	CN	0		30	Asia/Shanghai		
Xinning	31.08515	107.86508	P	PPLA3	CN	0		462	Asia/Shanghai		
Kaihua Chengguanzhen	29.14586	118.40903	P	PPLA3	CN	0		134	Asia/Shanghai		
Kaihua	23.3695	104.27721	P	PPLA3	CN	64404		1371	Asia/Shanghai		
Kaifeng	34.7986	114.30742	P	PPL	CN	900000		76	Asia/Shanghai		
Juye	35.39472	116.08833	P	PPLA3	CN	58107		44	Asia/Shanghai		
Juxing	31.96639	121.54278	P	PPLA4	CN	0		6	Asia/Shanghai		
Juxi	25.49465	116.73871	P	PPLA4	CN	0		360	Asia/Shanghai		
Juting	33.05534	106.08453	P	PPLA4	CN	0		599	Asia/Shanghai		
Jushui	27.49583	119.17389	P	PPLA4	CN	0		840	Asia/Shanghai		
Junzhuang	40.00119	116.0927	P	PPLA4	CN	0		129	Asia/Shanghai		
Junxi	25.69795	117.84541	P	PPLA3	CN	0		355	Asia/Shanghai		
Junshanpu	28.70444	112.16417	P	PPLA4	CN	0		98	Asia/Shanghai		
Junshan	30.40482	114.0827	P	PPLA4	CN	0		28	Asia/Shanghai		
Aikou	28.32943	108.80271	P	PPLA4	CN	0		477	Asia/Shanghai		
Junliangcheng	39.06476	117.44673	P	PPLA4	CN	0		4	Asia/Shanghai		
Junlian	28.17106	104.51162	P	PPLA3	CN	0		450	Asia/Shanghai		
Junkou	26.65814	116.79467	P	PPLA4	CN	0		349	Asia/Shanghai		
Jundian	32.05725	110.61794	P	PPLA4	CN	0		467	Asia/Shanghai		
Junchuan	31.65206	113.21843	P	PPLA4	CN	0		83	Asia/Shanghai		
Juncheng	38.93277	114.69711	P	PPLA4	CN	0		239	Asia/Shanghai		
Junbu	26.70452	115.66564	P	PPLA4	CN	0		210	Asia/Shanghai		
Jun'an	22.70575	113.14678	P	PPLA4	CN	0		7	Asia/Shanghai		
Jugezhuang	37.16667	121.68333	P	PPLA4	CN	0		110	Asia/Shanghai		
Juexi	29.47361	121.94722	P	PPLA4	CN	0		10	Asia/Shanghai		
Juegang	32.31737	121.18552	P	PPLA3	CN	73317		10	Asia/Shanghai		
Longhu	19.57748	110.39448	P	PPLA4	CN	0		54	Asia/Shanghai		
Juanshui	29.30307	113.88676	P	PPLA3	CN	0		117	Asia/Shanghai		
Juancheng	35.56157	115.50134	P	PPLA3	CN	0		52	Asia/Shanghai		
Liulin	34.58972	103.50417	P	PPLA3	CN	0		2539	Asia/Shanghai		
Shuangqiao	35.09	112.58	P	PPLA2	CN	0		152	Asia/Shanghai		
Jiyang	27.13932	118.13167	P	PPLA4	CN	0		150	Asia/Shanghai		
Jixin	28.10756	109.60558	P	PPLA4	CN	0		319	Asia/Shanghai		
Jixiang	26.67275	118.91219	P	PPLA4	CN	0		461	Asia/Shanghai		
Jichang	36.10111	110.67333	P	PPLA3	CN	0		882	Asia/Shanghai		
Chengjiao	35.40495	114.06043	P	PPLA3	CN	0		71	Asia/Shanghai		
Jixian	34.08863	108.39783	P	PPLA4	CN	0		450	Asia/Shanghai		
Jiwei	28.33344	109.41788	P	PPLA4	CN	0		827	Asia/Shanghai		
Jiuzihe	31.14084	115.67122	P	PPLA4	CN	0		334	Asia/Shanghai		
Jiuzhou	19.77125	110.40529	P	PPLA4	CN	0		32	Asia/Shanghai		
Jiuzhen	30.7474	113.21476	P	PPLA4	CN	0		40	Asia/Shanghai		
Yuhang	30.27528	119.9325	P	PPLA4	CN	0		14	Asia/Shanghai		
Yongping	34.81083	108.04139	P	PPLA4	CN	0		1263	Asia/Shanghai		
Huayuan	33.4688	114.87314	P	PPLA3	CN	0		43	Asia/Shanghai		
Jiuxian	33.49545	113.29965	P	PPLA4	CN	0		107	Asia/Shanghai		
Jiuxian	31.12063	111.60744	P	PPLA4	CN	0		124	Asia/Shanghai		
Jiuxian	29.86203	106.20288	P	PPLA4	CN	0		266	Asia/Shanghai		
Jiuxian	29.80224	119.62397	P	PPLA4	CN	0		23	Asia/Shanghai		
Jiuxian	27.60528	118.85583	P	PPLA4	CN	0		226	Asia/Shanghai		
Jiuxian	25.22397	116.4976	P	PPLA4	CN	0		337	Asia/Shanghai		
Jiuxi	29.18101	111.27174	P	PPLA4	CN	0		58	Asia/Shanghai		
Wugong	34.3283	108.10761	P	PPLA4	CN	0		476	Asia/Shanghai		
Jiusi	29.43363	109.25507	P	PPLA4	CN	0		503	Asia/Shanghai		
Jiupu	32.81447	118.67793	P	PPLA4	CN	0		46	Asia/Shanghai		
Ningshan Chengguanzhen	33.33153	108.30685	P	PPLA3	CN	0		911	Asia/Shanghai		
Jiulong	31.90806	121.57139	P	PPLA4	CN	0		5	Asia/Shanghai		
Yangjiaping	29.50512	106.50135	P	PPLA3	CN	0		271	Asia/Shanghai		
Jiulonggang	32.62	117.08	P	PPLA4	CN	0		32	Asia/Shanghai		
Jiulong	28.52121	116.63303	P	PPLA4	CN	0		24	Asia/Shanghai		
Jiulong	24.13937	112.90596	P	PPLA4	CN	0		96	Asia/Shanghai		
Lianzhu	23.40844	101.71028	P	PPLA3	CN	0		1523	Asia/Shanghai		
Jiukou	30.86439	112.66611	P	PPLA4	CN	0		40	Asia/Shanghai		
Jiujie	33.55109	113.76451	P	PPLA4	CN	0		71	Asia/Shanghai		
Jiujie	30.83505	114.92115	P	PPLA4	CN	0		34	Asia/Shanghai		
Xixiang	22.59306	113.8889	P	PPLA4	CN	0		6	Asia/Shanghai		
Jiujiang	29.70475	116.00206	P	PPLA2	CN	258807		41	Asia/Shanghai		
Jiujiang	22.83593	113.00672	P	PPLA4	CN	0		9	Asia/Shanghai		
Jiuhua	32.1372	120.65277	P	PPLA4	CN	0		8	Asia/Shanghai		
Jiuhe	23.49563	115.06082	P	PPLA4	CN	0		102	Asia/Shanghai		
Jiuguan	30.83809	120.2768	P	PPLA4	CN	0		4	Asia/Shanghai		
Jiufeng	25.35	113.36667	P	PPLA4	CN	0		514	Asia/Shanghai		
Jiufang	34.81451	107.39274	P	PPLA4	CN	0		1294	Asia/Shanghai		
Jiudu	25.20481	118.45431	P	PPLA4	CN	0		117	Asia/Shanghai		
Jiudian	29.64376	107.3399	P	PPLA4	CN	0		492	Asia/Shanghai		
Jiuchenggong	34.67868	107.78758	P	PPLA3	CN	0		1038	Asia/Shanghai		
Jiucheng	28.74138	107.68037	P	PPLA4	CN	0		467	Asia/Shanghai		
Jiucaizhuang	39.84194	111.90222	P	PPLA4	CN	0		1630	Asia/Shanghai		
Jiubao	25.94571	115.90046	P	PPLA4	CN	0		213	Asia/Shanghai		
Jitian	24.57204	112.07532	P	PPLA4	CN	0		275	Asia/Shanghai		
Jitan	24.94896	115.74358	P	PPLA4	CN	0		277	Asia/Shanghai		
Jishui	33.73333	115.4	P	PPL	CN	77540		41	Asia/Shanghai		
Qianzhou	28.31925	109.73346	P	PPLA3	CN	102332		201	Asia/Shanghai		
Jifeng	35.61347	110.95854	P	PPLA3	CN	0		402	Asia/Shanghai		
Jinzipai	29.84631	117.80778	P	PPLA4	CN	0		142	Asia/Shanghai		
Jinzhuang	23.80139	111.86528	P	PPLA4	CN	0		48	Asia/Shanghai		
Jinzhou	39.1	121.71667	P	PPL	CN	215386		8	Asia/Shanghai		
Jinze	31.03714	120.9147	P	PPLA4	CN	0		8	Asia/Shanghai		
Jinyuan	37.72694	112.47083	P	PPLA3	CN	0		779	Asia/Shanghai		
Jinxiu	24.13721	110.18009	P	PPLA3	CN	0		908	Asia/Shanghai		
Jinxiangzhen	27.43265	120.60625	P	PPL	CN	84231		10	Asia/Shanghai		
Jintian	27.15017	114.4386	P	PPLA4	CN	0		108	Asia/Shanghai		
Jintao	25.12036	118.35272	P	PPLA4	CN	0		60	Asia/Shanghai		
Jintang	30.00579	121.86621	P	PPLA4	CN	0		7	Asia/Shanghai		
Jintang	29.31389	114.16993	P	PPLA4	CN	0		189	Asia/Shanghai		
Jintang	21.75173	110.8424	P	PPLA4	CN	0		21	Asia/Urumqi		
Jintan	27.27169	115.11867	P	PPLA4	CN	0		48	Asia/Shanghai		
Jintan	24.05944	112.80806	P	PPLA4	CN	0		58	Asia/Shanghai		
Jinshiqiao	27.58425	110.93634	P	PPLA4	CN	1630		470	Asia/Shanghai		
Jinshi	29.60487	111.87012	P	PPLA3	CN	82906		65	Asia/Shanghai		
Jinshi	26.41796	110.80017	P	PPLA3	CN	0		343	Asia/Shanghai		
Jinshan	34.2899	109.38085	P	PPLA4	CN	0		1065	Asia/Shanghai		
Jinshanwei	30.72333	121.315	P	PPLA4	CN	0		6	Asia/Shanghai		
Jinshanpu	39.29468	113.67913	P	PPLA4	CN	0		1149	Asia/Shanghai		
Jinshandian	30.14285	114.86445	P	PPLA4	CN	0		42	Asia/Shanghai		
Jinshan	25.11508	102.09833	P	PPLA3	CN	0		1649	Asia/Shanghai		
Jinshan	19.99804	110.68957	P	PPLA4	CN	0		14	Asia/Shanghai		
Jinsha	32.08982	121.07355	P	PPLA3	CN	95647		6	Asia/Shanghai		
Jinsha	30.2644	118.72982	P	PPLA4	CN	0		209	Asia/Shanghai		
Jinsha	26.18165	118.70928	P	PPLA4	CN	0		147	Asia/Shanghai		
Jinrui	27.92677	114.20182	P	PPLA4	CN	0		112	Asia/Shanghai		
Jinqu	34.2119	107.7789	P	PPLA4	CN	0		583	Asia/Shanghai		
Jinping	35.31435	107.02923	P	PPLA3	CN	0		1148	Asia/Shanghai		
Jinping	34.51667	119.11667	P	PPLA4	CN	0		3	Asia/Shanghai		
Jinping	24.43374	100.81989	P	PPLA3	CN	0		1530	Asia/Shanghai		
Jinping	24.03054	104.22702	P	PPLA3	CN	0		1463	Asia/Shanghai		
Jinhe	22.76667	103.25	P	PPLA3	CN	0		1317	Asia/Shanghai		
Jinpanling	29.33535	116.99552	P	PPLA4	CN	0		68	Asia/Shanghai		
Jinnan	32.95526	119.03916	P	PPLA4	CN	0		11	Asia/Shanghai		
Jinli	23.07861	112.77739	P	PPLA4	CN	0		11	Asia/Shanghai		
Jinkou	30.34008	114.12989	P	PPLA4	CN	0		36	Asia/Shanghai		
Jinjing	24.575	118.59722	P	PPL	CN	6990		14	Asia/Shanghai		
Jinjiang	28.40051	116.89983	P	PPLA4	CN	0		36	Asia/Shanghai		
Jinjiang	19.72878	110.00851	P	PPLA3	CN	68720		22	Asia/Shanghai		
Jinjiahe	33.34097	105.96703	P	PPLA4	CN	0		881	Asia/Shanghai		
Jinji	32.55823	119.06738	P	PPLA4	CN	0		53	Asia/Shanghai		
Jinji	23.22806	110.82611	P	PPL	CN	56816		42	Asia/Shanghai		
Jinji	22.16667	112.48333	P	PPLA4	CN	0		15	Asia/Shanghai		
Jining	35.405	116.58139	P	PPL	CN	450327		43	Asia/Shanghai		
Jinhui	30.98973	121.49251	P	PPLA4	CN	0		8	Asia/Shanghai		
Jinhua	29.10678	119.64421	P	PPLA2	CN	142206		55	Asia/Shanghai		
Jinhe	27.71694	109.60472	P	PPL	CN	3790		202	Asia/Shanghai		
Jinhe	20.57079	110.41083	P	PPLA4	CN	0		15	Asia/Urumqi		
Jingzhou	30.35028	112.19028	P	PPL	CN	177878		39	Asia/Shanghai		
Jingzhou	23.63285	116.93184	P	PPLA4	CN	0		28	Asia/Shanghai		
Wulan	36.56541	104.68401	P	PPLA3	CN	0		1408	Asia/Shanghai		
Xiangshui	35.47695	106.33112	P	PPLA3	CN	0		1954	Asia/Shanghai		
Jingyao	34.8454	109.4441	P	PPLA4	CN	0		397	Asia/Shanghai		
Jingyang	32.51667	107.88333	P	PPLA3	CN	0		963	Asia/Shanghai		
Jingyang	30.29194	118.5425	P	PPLA3	CN	0		188	Asia/Shanghai		
Yancheng	29.65068	104.06723	P	PPLA3	CN	0		389	Asia/Shanghai		
Tianchang	37.99806	114.01556	P	PPL	CN	61292		281	Asia/Shanghai		
Xiluodu	28.24425	103.63849	P	PPLA3	CN	0		877	Asia/Shanghai		
Jingxin	24.22841	115.93354	P	PPLA4	CN	0		267	Asia/Shanghai		
Jingzhou	37.68868	116.25958	P	PPLA3	CN	0		20	Asia/Shanghai		
Jingchuan	30.68916	118.40431	P	PPLA3	CN	0		35	Asia/Shanghai		
Jingxi	26.19454	117.54526	P	PPLA4	CN	0		184	Asia/Shanghai		
Jingu	25.1725	118.11583	P	PPLA4	CN	0		79	Asia/Shanghai		
Jingtou	23.96977	113.67748	P	PPLA4	CN	0		116	Asia/Shanghai		
Jingping	39.52	112.28389	P	PPLA3	CN	0		1373	Asia/Shanghai		
Jingning Chengguanzhen	35.52036	105.72301	P	PPLA3	CN	0		1663	Asia/Shanghai		
Jingnao	25.006	115.02667	P	PPLA4	CN	0		374	Asia/Shanghai		
Jingmen	31.03361	112.20472	P	PPL	CN	167750		94	Asia/Shanghai		
Jingmao	35.88183	111.35586	P	PPLA4	CN	0		485	Asia/Shanghai		
Jinglou	28.10012	115.42607	P	PPLA4	CN	0		39	Asia/Shanghai		
Jinglongqiao	29.30316	111.09698	P	PPLA4	CN	0		147	Asia/Shanghai		
Jingling	30.65	113.1	P	PPL	CN	224871		30	Asia/Shanghai		
Jingling	29.37343	120.78289	P	PPLA4	CN	0		69	Asia/Shanghai		
Echeng	38.37444	111.97167	P	PPLA3	CN	0		1392	Asia/Shanghai		
Jingkou	23.50778	112.825	P	PPLA4	CN	0		14	Asia/Shanghai		
Jingjiang	30.23344	120.46236	P	PPLA4	CN	0		13	Asia/Shanghai		
Jingcheng	32.01417	120.2625	P	PPLA3	CN	0		8	Asia/Shanghai		
Jinghai	38.93373	116.92699	P	PPLA3	CN	0		6	Asia/Shanghai		
Jinghai	23.01085	116.52764	P	PPLA4	CN	0		7	Asia/Shanghai		
Jingguan	29.89545	106.5639	P	PPLA4	CN	0		389	Asia/Shanghai		
Jinggongqiao	29.74845	117.2134	P	PPLA4	CN	0		100	Asia/Shanghai		
Jinggan	34.53	108.83417	P	PPLA3	CN	0		409	Asia/Shanghai		
Jingdezhen	29.2947	117.20789	P	PPLA2	CN	310565		48	Asia/Shanghai		
Jingchuan Chengguanzhen	35.33194	107.36111	P	PPLA3	CN	0		1033	Asia/Shanghai		
Zhangping	25.29972	117.415	P	PPLA3	CN	0		171	Asia/Shanghai		
Jing'an	39.10438	100.41094	P	PPLA4	CN	0		1428	Asia/Shanghai		
Jing'an	22.21072	113.29218	P	PPLA3	CN	0		15	Asia/Shanghai		
Jinfeng	31.96165	120.64709	P	PPLA4	CN	0		4	Asia/Shanghai		
Jinfeng	25.97871	119.62304	P	PPLA4	CN	0		7	Asia/Shanghai		
Jin'e	29.34313	105.28443	P	PPLA3	CN	0		374	Asia/Shanghai		
Jindui	34.33402	109.96747	P	PPLA4	CN	0		1375	Asia/Shanghai		
Jindu	23.05053	112.51501	P	PPLA4	CN	0		10	Asia/Shanghai		
Jindou	25.43238	118.1017	P	PPLA4	CN	0		549	Asia/Shanghai		
Jindong	22.46245	110.78078	P	PPLA4	CN	0		208	Asia/Urumqi		
Jincun	35.50194	112.90583	P	PPLA4	CN	0		760	Asia/Shanghai		
Jincun	33.95125	112.26223	P	PPLA4	CN	0		671	Asia/Shanghai		
Jinchang	38.50062	102.19379	P	PPLA2	CN	144363		1553	Asia/Shanghai		
Jinchuan	31.47551	102.05884	P	PPLA3	CN	0		2199	Asia/Shanghai		
Jinchuan	27.76036	115.3885	P	PPLA3	CN	0		44	Asia/Shanghai		
Jincheng	35.50222	112.83278	P	PPLA2	CN	332650		711	Asia/Shanghai		
Jincheng	30.99712	105.88191	P	PPLA3	CN	0		332	Asia/Shanghai		
Jincheng	28.26648	103.56838	P	PPLA3	CN	0		1211	Asia/Shanghai		
Jincheng	25.50147	102.40058	P	PPLA3	CN	0		1759	Asia/Shanghai		
Jincheng	24.70222	102.74417	P	PPLA4	CN	0		1911	Asia/Shanghai		
Jinbi	25.70855	101.33679	P	PPLA3	CN	0		1859	Asia/Shanghai		
Jinan	36.66833	116.99722	P	PPLA	CN	4335989		32	Asia/Shanghai		
Jin'an	32.63941	103.59683	P	PPLA3	CN	0		2851	Asia/Shanghai		
Jimo	36.38972	120.46222	P	PPL	CN	70733		25	Asia/Shanghai		
Jilong	22.8	114.91667	P	PPLA4	CN	0		18	Asia/Shanghai		
Daqinglu	34.89927	112.58314	P	PPLA3	CN	0		143	Asia/Shanghai		
Jijiazhuang	39.84891	113.45414	P	PPLA4	CN	0		971	Asia/Shanghai		
Jijiang	29.28993	106.25001	P	PPLA3	CN	61161		213	Asia/Shanghai		
Jijia	20.95311	109.79477	P	PPLA4	CN	0		36	Asia/Urumqi		
Jiedu	28.95	117.16667	P	PPLA4	CN	0		26	Asia/Shanghai		
Jiexiu	37.02444	111.9125	P	PPL	CN	77178		756	Asia/Shanghai		
Jietou	29.11588	120.80376	P	PPLA4	CN	0		97	Asia/Shanghai		
Jieting	29.64428	120.27108	P	PPLA4	CN	0		28	Asia/Shanghai		
Jieshui	27.78503	114.75945	P	PPLA4	CN	0		66	Asia/Shanghai		
Jieshou	33.26338	115.36108	P	PPL	CN	141993		42	Asia/Shanghai		
Jieshou	26.60666	113.40607	P	PPLA4	CN	0		130	Asia/Shanghai		
Jieshi	22.81027	115.83058	P	PPLA4	CN	137444		9	Asia/Shanghai		
Jiesheng	22.71809	115.44756	P	PPLA4	CN	0		13	Asia/Shanghai		
Jielong	29.24946	106.77663	P	PPLA4	CN	0		340	Asia/Shanghai		
Xinmen	29.75184	118.72378	P	PPLA4	CN	0		154	Asia/Shanghai		
Jiekou	23.54992	113.58099	P	PPLA3	CN	0		37	Asia/Shanghai		
Jiekeng	28.44747	120.40423	P	PPLA4	CN	0		412	Asia/Shanghai		
Jiehu	35.54278	118.455	P	PPL	CN	69245		117	Asia/Shanghai		
Jieheshi	30.01343	111.71464	P	PPLA4	CN	0		48	Asia/Shanghai		
Jieguanting	33.26806	106.25194	P	PPLA4	CN	0		834	Asia/Shanghai		
Jiefangyan	28.12896	109.73839	P	PPLA4	CN	0		211	Asia/Shanghai		
Xinjiebu	28.22598	115.0574	P	PPLA4	CN	0		51	Asia/Shanghai		
Jiebu	27.76939	115.37857	P	PPLA4	CN	0		37	Asia/Shanghai		
Xinji	26.33808	116.55515	P	PPLA4	CN	0		397	Asia/Shanghai		
Jibu	26.02103	115.15694	P	PPLA4	CN	0		179	Asia/Shanghai		
Jiazi	22.87932	116.07318	P	PPLA4	CN	130298		7	Asia/Shanghai		
Jiazhuyuan	29.9913	112.11057	P	PPLA4	CN	0		40	Asia/Shanghai		
Jiazhuang	39.24215	112.53267	P	PPLA4	CN	0		1072	Asia/Shanghai		
Jiazhuang	38.09919	114.03858	P	PPLA4	CN	0		272	Asia/Shanghai		
Jiaxing	30.7522	120.75	P	PPLA2	CN	466101		8	Asia/Shanghai		
Jiaxiang	35.39606	116.348	P	PPLA3	CN	0		41	Asia/Shanghai		
Jiaxian	33.96833	113.20806	P	PPLA3	CN	0		119	Asia/Shanghai		
Jiasi	29.11569	106.44691	P	PPLA4	CN	0		208	Asia/Shanghai		
Jiashi	28.97147	109.4019	P	PPLA4	CN	0		305	Asia/Shanghai		
Jiaqu	34.91775	109.54189	P	PPLA4	CN	0		431	Asia/Shanghai		
Jiaqiao	29.16691	111.49749	P	PPLA4	CN	0		52	Asia/Shanghai		
Jiapu	31.10459	119.93879	P	PPLA4	CN	0		6	Asia/Shanghai		
Jiaozuo	35.23972	113.23306	P	PPL	CN	517540		138	Asia/Shanghai		
Jiaoziya	29.28861	110.32222	P	PPLA4	CN	0		276	Asia/Shanghai		
Jiaoyuan	30.02093	109.44169	P	PPLA4	CN	0		842	Asia/Shanghai		
Jiaoyang	25.22789	116.73656	P	PPLA4	CN	0		658	Asia/Shanghai		
Jiaoxie	34.66514	109.68596	P	PPLA4	CN	0		352	Asia/Shanghai		
Jiaowei	25.30651	118.83033	P	PPLA4	CN	0		40	Asia/Shanghai		
Liuheng	29.74481	122.10896	P	PPLA4	CN	0		83	Asia/Shanghai		
Jiaotang	29.31033	115.92435	P	PPLA4	CN	0		19	Asia/Shanghai		
Jiaotan	29.54999	117.21215	P	PPLA4	CN	0		57	Asia/Shanghai		
Jiaoshi	29.71607	107.5976	P	PPLA4	CN	0		610	Asia/Shanghai		
Jiaoqiao	28.74553	115.85878	P	PPLA4	CN	0		32	Asia/Shanghai		
Jiaoqi	29.64833	112.08196	P	PPLA4	CN	0		38	Asia/Shanghai		
Jiaocheng	24.65732	116.16709	P	PPLA3	CN	0		116	Asia/Shanghai		
Jiaokui	27.59414	104.00478	P	PPLA3	CN	0		1256	Asia/Shanghai		
Jiaokou	34.55016	109.2968	P	PPLA4	CN	0		356	Asia/Shanghai		
Jiaogong	33.56547	104.64637	P	PPLA4	CN	0		1196	Asia/Shanghai		
Jiaodai	34.05941	109.24639	P	PPLA4	CN	0		587	Asia/Shanghai		
Jiaocun	30.19193	118.06678	P	PPLA4	CN	0		240	Asia/Shanghai		
Tianning	37.54722	112.16053	P	PPLA3	CN	0		762	Asia/Shanghai		
Jiaozhou	36.28389	120.00333	P	PPL	CN	165026		10	Asia/Shanghai		
Ningde	26.66167	119.52278	P	PPLA2	CN	65170		20	Asia/Shanghai		
Jiaoba	28.80711	108.09099	P	PPLA4	CN	0		723	Asia/Shanghai		
Juzhen	32.41445	121.19539	P	PPLA4	CN	0		8	Asia/Shanghai		
Jiancheng	30.39097	104.54912	P	PPLA3	CN	0		409	Asia/Shanghai		
Jianxi	26.81472	117.95132	P	PPLA4	CN	0		131	Asia/Shanghai		
Jiantou	24.0514	114.7006	P	PPLA4	CN	0		148	Asia/Shanghai		
Jiantiao	29.04389	121.6275	P	PPLA4	CN	0		19	Asia/Shanghai		
Jiantianjie	29.42304	116.98582	P	PPLA4	CN	0		39	Asia/Shanghai		
Lin'an	23.60255	102.83092	P	PPLA3	CN	0		1311	Asia/Shanghai		
Jianshe	25.98143	117.78236	P	PPLA4	CN	0		503	Asia/Shanghai		
Jianshan	31.43396	108.89533	P	PPLA4	CN	0		950	Asia/Shanghai		
Jianshan	29.70285	108.99895	P	PPLA4	CN	0		574	Asia/Shanghai		
Jianshan	29.22499	120.71623	P	PPLA4	CN	0		531	Asia/Shanghai		
Jianshan	28.13042	115.19035	P	PPLA4	CN	0		60	Asia/Shanghai		
Jianqiao	30.31955	120.21512	P	PPLA4	CN	0		13	Asia/Shanghai		
Jian'ou	27.04694	118.32528	P	PPLA3	CN	59187		124	Asia/Shanghai		
Jiannan	30.43919	108.53398	P	PPLA4	CN	0		656	Asia/Shanghai		
Tongzilin	26.70039	101.85134	P	PPLA3	CN	0		1012	Asia/Shanghai		
Jianjun	34.69139	108.13972	P	PPLA3	CN	0		982	Asia/Shanghai		
Jianjiang	26.54972	119.755	P	PPL	CN	5540		8	Asia/Shanghai		
Jiangzhou	29.78759	116.12014	P	PPLA4	CN	0		15	Asia/Shanghai		
Jiangzhang	34.25974	107.92204	P	PPLA4	CN	0		472	Asia/Shanghai		
Jiangzao	31.99669	121.0325	P	PPLA4	CN	0		6	Asia/Shanghai		
Xiaopu	25.23917	111.31664	P	PPLA3	CN	0		268	Asia/Shanghai		
Jiangyin	25.46022	119.31598	P	PPLA4	CN	0		18	Asia/Shanghai		
Jiangyi	29.21162	115.77263	P	PPLA4	CN	0		33	Asia/Shanghai		
Jiangyan	32.50611	120.14278	P	PPLA3	CN	70375		9	Asia/Shanghai		
Jiangya	29.50428	110.76382	P	PPLA4	CN	0		153	Asia/Shanghai		
Jiangxigou	36.63333	100.26667	P	PPLA4	CN	0		3221	Asia/Shanghai		
Gujiang	35.49399	111.55334	P	PPLA3	CN	0		734	Asia/Shanghai		
Jiangwei	24.43126	114.12645	P	PPLA4	CN	0		135	Asia/Shanghai		
Jiangwang	32.36477	119.36952	P	PPLA4	CN	0		10	Asia/Shanghai		
Jiangwan	29.37194	118.04694	P	PPLA4	CN	0		119	Asia/Shanghai		
Jiangwan	24.62681	113.22811	P	PPLA4	CN	0		199	Asia/Shanghai		
Jiangwakou	39.5225	117.7025	P	PPL	CN	2018		0	Asia/Shanghai		
Jianguang	28.19377	115.7836	P	PPL	CN	61469		31	Asia/Shanghai		
Jiangtun	23.71979	112.6184	P	PPLA4	CN	0		242	Asia/Shanghai		
Jiangtian	25.81947	119.57518	P	PPLA4	CN	0		13	Asia/Shanghai		
Jiangshi	27.12333	109.73778	P	PPL	CN	1510		197	Asia/Shanghai		
Jiangshan	29.77119	121.53149	P	PPLA4	CN	0		7	Asia/Shanghai		
Jiangshan	25.18016	116.97328	P	PPLA4	CN	0		587	Asia/Shanghai		
Jiangqiao	31.23896	121.32484	P	PPLA4	CN	0		4	Asia/Shanghai		
Jiangning	31.86612	118.6031	P	PPLA4	CN	0		18	Asia/Shanghai		
Jiangna	23.6092	104.37312	P	PPLA3	CN	0		1583	Asia/Shanghai		
Jiangmen	22.58333	113.08333	P	PPLA2	CN	532419		11	Asia/Shanghai		
Jiangluo	33.90139	105.82194	P	PPLA4	CN	0		1175	Asia/Shanghai		
Jiangkou	31.22238	108.79377	P	PPLA4	CN	0		200	Asia/Shanghai		
Jiangkou	33.73052	107.05002	P	PPLA4	CN	0		1106	Asia/Shanghai		
Jiangkou	31.56506	107.09736	P	PPLA3	CN	0		379	Asia/Shanghai		
Jiangkou	29.7329	121.40367	P	PPLA4	CN	0		11	Asia/Shanghai		
Jiangkou	29.24279	107.87723	P	PPLA4	CN	0		237	Asia/Shanghai		
Jiangkouxu	27.69417	109.73583	P	PPL	CN	1450		174	Asia/Shanghai		
Jiangkou	25.95701	115.13302	P	PPLA4	CN	0		120	Asia/Shanghai		
Jiangkou	25.48694	119.19834	P	PPLA4	CN	59902		10	Asia/Shanghai		
Jiangkou	23.43916	111.4974	P	PPLA3	CN	0		35	Asia/Shanghai		
Jiangjing	25.55478	119.41991	P	PPLA4	CN	0		11	Asia/Shanghai		
Jiangfang	26.50158	110.3464	P	PPL	CN	1120		447	Asia/Shanghai		
Jiangbu	28.63102	116.57959	P	PPLA4	CN	0		26	Asia/Shanghai		
Jiangjia	29.47602	118.6595	P	PPLA4	CN	0		121	Asia/Shanghai		
Jianghua	32.07341	120.00895	P	PPLA4	CN	0		5	Asia/Shanghai		
Jianghong	21.01594	109.71638	P	PPLA4	CN	0		18	Asia/Urumqi		
Jianggu	23.50579	112.65834	P	PPLA4	CN	0		21	Asia/Shanghai		
Jianggezhuang	37.41387	121.81633	P	PPLA4	CN	0		23	Asia/Shanghai		
Jianggang	32.74031	120.84569	P	PPLA4	CN	0		7	Asia/Shanghai		
Jiangduo	32.36608	120.24107	P	PPLA4	CN	0		6	Asia/Shanghai		
Gangdong	27.91694	110.83417	P	PPL	CN	1380		413	Asia/Shanghai		
Jiangcun	29.772	117.36318	P	PPLA4	CN	0		75	Asia/Shanghai		
Jianggao	23.26701	113.23042	P	PPLA4	CN	0		-1	Asia/Shanghai		
Jiangcheng	24.42417	102.805	P	PPLA4	CN	0		1735	Asia/Shanghai		
Yangjiang	21.85563	111.96272	P	PPLA2	CN	399735		15	Asia/Shanghai		
Jiangbei	26.30117	115.48257	P	PPLA4	CN	0		176	Asia/Shanghai		
Jiang'an Qu	30.6089	114.30683	P	PPLA3	CN	0		35	Asia/Shanghai		
Jiang'an	28.73335	105.0683	P	PPLA3	CN	0		282	Asia/Shanghai		
Jianfeng	26.75079	116.47675	P	PPLA4	CN	0		291	Asia/Shanghai		
Jianfeng	18.6697	108.72637	P	PPLA4	CN	0		29	Asia/Shanghai		
Jiandou	25.32283	117.92938	P	PPLA4	CN	0		239	Asia/Shanghai		
Jiancheng	23.13665	111.53879	P	PPLA4	CN	0		19	Asia/Shanghai		
